Dataset,#TrainingReleases,%TrainingData,%DefectiveTraining,%DefectiveTesting,Classifier,FeatureSelection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,F1score,NPofB20,Cost
Apache Storm,4,6.920722,8.9057045,17.73779,NaiveBayes,BestFirstBackward,SMOTE,None,152,126,12,488,0.5467626,0.2375,0.17544158,-0.3329799,0.33115467,0.6811594202898551,5006
Apache Storm,4,6.920722,8.9057045,17.73779,NaiveBayes,None,Undersampling,None,65,534,106,73,0.10851419,0.4710145,0.17995358,-0.15728982,0.17639077,0.30434782608695654,1264
Apache Storm,4,6.920722,8.9057045,17.73779,NaiveBayes,None,SMOTE,None,23,489,151,115,0.044921875,0.16666667,0.17800611,-0.28959242,0.07076923,0.18115942028985507,1639
Apache Storm,4,6.920722,8.9057045,17.73779,RandomForest,None,None,None,137,634,6,1,0.17769131,0.9927536,0.21704596,7.605086E-4,0.30143014,0.38405797101449274,644
Apache Storm,4,6.920722,8.9057045,17.73779,RandomForest,None,None,Learning,133,619,21,5,0.1768617,0.9637681,0.2200634,-0.0012456998,0.2988764,0.37681159420289856,669
Apache Storm,4,6.920722,8.9057045,17.73779,RandomForest,BestFirstBackward,None,None,1,1,137,639,0.5,0.0015625,0.25180027,-0.0020204622,0.0031152647,0.5797101449275363,6391
Apache Storm,4,6.920722,8.9057045,17.73779,RandomForest,BestFirstBackward,None,Learning,1,6,132,639,0.14285715,0.0015625,0.41692707,-0.014975547,0.00309119,0.4927536231884058,6396
Apache Storm,4,6.920722,8.9057045,17.73779,RandomForest,BestFirstBackward,Undersampling,None,2,68,70,638,0.028571429,0.003125,0.100956745,-0.18688793,0.0056338026,0.5797101449275363,6448
Apache Storm,4,6.920722,8.9057045,17.73779,RandomForest,BestFirstBackward,SMOTE,None,455,8,130,185,0.9827214,0.7109375,0.7497849,0.43443543,0.82502264,0.1956521739130435,1858
Apache Storm,4,6.920722,8.9057045,17.73779,RandomForest,None,Undersampling,None,68,442,198,70,0.13333334,0.49275362,0.26105073,-0.09618475,0.20987654,0.38405797101449274,1142
