Dataset,#TrainingReleases,%TrainingData,%DefectiveTraining,%DefectiveTesting,Classifier,FeatureSelection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,NPofB20
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,BestFirstBackward,Undersampling,Learning,60,30,170,41,0.6666667,0.5940594,0.6912871,0.45636082,26.732674
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,BestFirstBackward,SMOTE,None,52,24,176,49,0.68421054,0.5148515,0.684901,0.42061964,24.752476
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,BestFirstBackward,SMOTE,Threshold,44,19,181,57,0.6984127,0.43564355,0.67032176,0.37562093,20.79208
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,BestFirstBackward,SMOTE,Learning,59,38,162,42,0.6082474,0.5841584,0.7431931,0.3980602,26.732674
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,None,None,None,77,66,134,24,0.53846157,0.76237625,0.8023515,0.39202836,29.70297
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,None,None,Threshold,28,11,189,73,0.71794873,0.27722773,0.61111385,0.26203957,20.79208
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,None,None,Learning,39,11,189,62,0.78,0.38613862,0.77670795,0.37843344,28.712872
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,None,Oversampling,None,89,110,90,12,0.44723618,0.8811881,0.75896037,0.2670552,29.70297
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,None,Oversampling,Threshold,33,25,175,68,0.5689655,0.32673267,0.6008663,0.22549318,20.79208
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,None,Oversampling,Learning,80,108,92,21,0.42553192,0.7920792,0.66908413,0.20778161,21.782177
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,None,Undersampling,None,80,75,125,21,0.516129,0.7920792,0.79091585,0.36833823,31.683168
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,None,Undersampling,Threshold,22,3,197,79,0.88,0.21782178,0.60141087,0.24923956,19.801981
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,None,Undersampling,Learning,81,77,123,20,0.51265824,0.8019802,0.7960644,0.36587536,32.673267
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,None,SMOTE,None,88,92,108,13,0.4888889,0.8712871,0.77460396,0.34458017,27.722773
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,None,SMOTE,Threshold,34,15,185,67,0.6938776,0.33663365,0.6308168,0.29984114,23.762377
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,None,SMOTE,Learning,42,7,193,59,0.85714287,0.41584158,0.749802,0.4364575,35.643566
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstForward,None,None,86,103,97,15,0.45502645,0.85148513,0.7746535,0.2767959,33.663364
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstForward,None,Threshold,36,6,194,65,0.85714287,0.35643566,0.66321784,0.38160828,24.752476
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstForward,None,Learning,46,12,188,55,0.79310346,0.45544556,0.7808663,0.44202197,29.70297
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstForward,Oversampling,None,96,130,70,5,0.42477876,0.95049506,0.6989109,0.23003316,33.663364
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstForward,Oversampling,Threshold,66,75,125,35,0.4680851,0.65346533,0.6392327,0.25360686,29.70297
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstForward,Oversampling,Learning,75,107,93,26,0.41208792,0.7425743,0.62373763,0.17319648,26.732674
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstForward,Undersampling,None,90,117,83,11,0.4347826,0.8910891,0.7783416,0.2429756,30.69307
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstForward,Undersampling,Threshold,39,9,191,62,0.8125,0.38613862,0.6705693,0.39205757,24.752476
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstForward,Undersampling,Learning,43,43,157,58,0.5,0.42574257,0.6485396,0.21878453,33.663364
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstForward,SMOTE,None,89,95,105,12,0.48369566,0.8811881,0.7939604,0.33753625,33.663364
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstForward,SMOTE,Threshold,44,14,186,57,0.7586207,0.43564355,0.6828218,0.40870985,25.742575
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstForward,SMOTE,Learning,56,23,177,45,0.70886075,0.55445546,0.810396,0.46449688,32.673267
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstBackward,None,None,86,103,97,15,0.45502645,0.85148513,0.7746535,0.2767959,33.663364
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstBackward,None,Threshold,36,6,194,65,0.85714287,0.35643566,0.66321784,0.38160828,24.752476
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstBackward,None,Learning,46,12,188,55,0.79310346,0.45544556,0.7808663,0.44202197,29.70297
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstBackward,Oversampling,None,96,130,70,5,0.42477876,0.95049506,0.6989109,0.23003316,33.663364
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstBackward,Oversampling,Threshold,66,75,125,35,0.4680851,0.65346533,0.6392327,0.25360686,29.70297
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstBackward,Oversampling,Learning,75,107,93,26,0.41208792,0.7425743,0.62373763,0.17319648,26.732674
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstBackward,Undersampling,None,90,117,83,11,0.4347826,0.8910891,0.7783416,0.2429756,30.69307
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstBackward,Undersampling,Threshold,39,9,191,62,0.8125,0.38613862,0.6705693,0.39205757,24.752476
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstBackward,Undersampling,Learning,43,43,157,58,0.5,0.42574257,0.6485396,0.21878453,33.663364
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstBackward,SMOTE,None,89,95,105,12,0.48369566,0.8811881,0.7939604,0.33753625,33.663364
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstBackward,SMOTE,Threshold,44,14,186,57,0.7586207,0.43564355,0.6828218,0.40870985,25.742575
Bookkeeper,1,8.453681,51.666668,33.554817,RandomForest,BestFirstBackward,SMOTE,Learning,56,23,177,45,0.70886075,0.55445546,0.810396,0.46449688,32.673267
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,None,None,None,71,79,121,30,0.47333333,0.7029703,0.6547277,0.27495524,27.722773
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,None,None,Threshold,71,79,121,30,0.47333333,0.7029703,0.65398514,0.27495524,27.722773
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,None,None,Learning,71,79,121,30,0.47333333,0.7029703,0.6547277,0.27495524,27.722773
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,None,Oversampling,None,61,64,136,40,0.488,0.6039604,0.6560891,0.26818776,26.732674
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,None,Oversampling,Threshold,61,64,136,40,0.488,0.6039604,0.6419802,0.26818776,26.732674
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,None,Oversampling,Learning,52,120,80,49,0.30232558,0.5148515,0.3658416,-0.072529465,20.79208
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,None,Undersampling,None,69,78,122,32,0.46938777,0.6831683,0.64737624,0.26346934,26.732674
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,None,Undersampling,Threshold,69,78,122,32,0.46938777,0.6831683,0.64658415,0.26346934,26.732674
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,None,Undersampling,Learning,77,182,18,24,0.2972973,0.76237625,0.4261881,-0.10642018,28.712872
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,None,SMOTE,None,78,90,110,23,0.4642857,0.77227724,0.6611386,0.27682692,30.69307
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,None,SMOTE,Threshold,78,90,110,23,0.4642857,0.77227724,0.6611386,0.27682692,30.69307
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,None,SMOTE,Learning,19,8,192,82,0.7037037,0.18811882,0.49480197,0.18092762,12.871287
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstForward,None,None,72,77,123,29,0.48322147,0.7128713,0.6592822,0.29336464,29.70297
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstForward,None,Threshold,72,77,123,29,0.48322147,0.7128713,0.66393566,0.29336464,29.70297
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstForward,None,Learning,72,77,123,29,0.48322147,0.7128713,0.6592822,0.29336464,29.70297
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstForward,Oversampling,None,92,184,16,9,0.33333334,0.9108911,0.3454703,-0.0063750544,25.742575
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstForward,Oversampling,Threshold,92,184,16,9,0.33333334,0.9108911,0.49544555,-0.0063750544,25.742575
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstForward,Oversampling,Learning,80,182,18,21,0.3053435,0.7920792,0.5351733,-0.084559545,26.732674
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstForward,Undersampling,None,70,74,126,31,0.4861111,0.6930693,0.6568317,0.2922722,28.712872
