ID,Size,Predicted,Actual
233,16,0.9952883,YES
131,26,0.9952883,NO
207,27,0.9952883,NO
50,29,0.9952883,NO
86,29,0.9952883,NO
49,30,0.9952883,NO
91,31,0.9952883,NO
60,32,0.9952883,NO
320,32,0.9952883,NO
766,34,0.9952883,NO
446,35,0.9952883,NO
574,37,0.9952883,NO
57,40,0.9952883,NO
59,40,0.9952883,NO
68,40,0.9952883,NO
45,43,0.9952883,NO
85,44,0.9952883,NO
29,48,0.9952883,YES
43,48,0.9952883,NO
241,49,0.9952883,YES
259,52,0.9952883,NO
448,52,0.9952883,NO
343,53,0.9952883,YES
64,57,0.9952883,NO
3,58,0.9952883,NO
434,58,0.9952883,NO
66,59,0.9952883,NO
768,60,0.9952883,NO
144,61,0.9952883,YES
405,61,0.9952883,YES
435,65,0.9952883,NO
579,65,0.9952883,YES
773,66,0.9952883,NO
51,69,0.9952883,NO
63,70,0.9952883,NO
65,70,0.9952883,NO
424,70,0.9952883,YES
596,74,0.9984195,NO
217,75,0.9952883,YES
127,76,0.9952883,YES
41,77,0.9952883,YES
412,77,0.9952883,NO
15,78,0.9952883,YES
61,79,0.997633,NO
0,79,0.9952883,NO
209,80,0.9952883,NO
415,80,0.9952883,YES
62,81,0.997633,NO
42,83,0.9952883,YES
44,85,0.9952883,NO
202,86,0.9952883,NO
67,88,0.9952883,NO
108,88,0.9952883,NO
227,88,0.9952883,NO
54,89,0.9952883,NO
235,89,0.9952883,NO
46,90,0.9952883,NO
107,90,0.9952883,NO
141,90,0.9952883,NO
431,94,0.9952883,NO
232,95,0.9952883,YES
397,96,0.9952883,NO
229,97,0.9952883,YES
777,100,0.9952883,NO
231,101,0.9952883,YES
69,104,0.9952883,NO
128,112,0.9952883,YES
255,114,0.9952883,YES
585,114,0.9952883,YES
171,115,0.9952883,YES
26,118,0.9952883,NO
413,120,0.9952883,YES
11,121,0.9952883,NO
613,121,0.9952883,YES
622,123,0.9952883,YES
262,124,0.9952883,YES
7,134,0.9952883,NO
48,135,0.9952883,NO
569,136,0.9952883,NO
70,139,0.9952883,YES
407,142,0.9952883,YES
110,143,0.9952883,NO
147,152,0.9952883,YES
337,157,0.9952883,YES
136,161,0.9952883,YES
195,173,0.9952883,YES
604,187,0.9952883,NO
205,188,0.9952883,YES
594,189,0.9952883,YES
105,193,0.9952883,NO
196,194,0.9952883,YES
104,196,0.9952883,NO
703,199,0.9952883,NO
47,202,0.9952883,NO
369,202,0.9952883,NO
430,209,0.9952883,NO
478,225,0.9952883,YES
129,240,0.9952883,YES
199,241,0.9952883,YES
9,246,0.9952883,NO
36,252,0.9952883,NO
256,253,0.9952883,YES
586,253,0.9952883,NO
426,281,0.9952883,NO
160,284,0.9952883,YES
396,284,0.9952883,YES
757,289,0.9952883,NO
208,294,0.9952883,YES
394,296,0.9952883,NO
292,299,0.9952883,YES
236,304,0.9952883,NO
385,89,0.2858598,YES
387,89,0.2858598,YES
432,89,0.2858598,YES
212,323,0.9952883,YES
89,334,0.9952883,NO
238,351,0.9952883,YES
767,359,0.9952883,NO
544,370,0.9952883,YES
610,377,0.9952883,NO
260,394,0.9952883,NO
263,405,0.9952883,YES
265,405,0.9952883,YES
273,405,0.9952883,YES
285,405,0.9952883,YES
291,405,0.9952883,YES
288,406,0.9952883,YES
759,425,0.9952883,YES
135,40,0.09126258,NO
137,40,0.09126258,NO
228,40,0.09126258,NO
251,447,0.9952883,NO
272,457,0.9952883,YES
271,462,0.9952883,YES
278,498,0.9952883,YES
274,506,0.9952883,YES
283,506,0.9952883,YES
266,513,0.9952883,YES
296,513,0.9952883,YES
298,513,0.9952883,YES
295,515,0.9952883,YES
560,521,0.9952883,NO
302,532,0.9952883,YES
602,542,0.9952883,YES
301,553,0.9952883,YES
290,555,0.9952883,YES
286,560,0.9952883,YES
78,56,0.09126258,YES
325,627,0.9952883,YES
287,631,0.9952883,YES
38,106,0.1669307,NO
481,106,0.1669307,NO
691,106,0.1669307,YES
571,60,0.09126258,NO
294,663,0.9952883,YES
269,672,0.9952883,YES
223,65,0.09126258,NO
277,713,0.9952883,YES
760,733,0.9952883,NO
304,795,0.9952883,YES
690,73,0.09126258,NO
284,800,0.9952883,YES
300,802,0.9952883,YES
612,815,0.9952883,YES
414,77,0.09126258,NO
698,77,0.09108591,YES
270,851,0.9952883,YES
216,80,0.09126258,NO
218,82,0.09126258,NO
297,916,0.9952883,YES
