ID,Size,Predicted,Actual
474,84,0.09126258,YES
684,84,0.09126258,NO
281,921,0.9952883,YES
73,86,0.09126258,NO
145,86,0.09126258,NO
524,86,0.09126258,NO
75,88,0.09126258,NO
264,982,0.9952883,YES
303,1181,0.9952883,YES
309,1207,0.9952883,YES
299,1210,0.9952883,YES
170,116,0.09126258,NO
306,1279,0.9952883,YES
275,1328,0.9952883,YES
267,1389,0.9952883,YES
234,72,0.04772149,NO
346,72,0.04772149,NO
485,72,0.04772149,NO
237,1503,0.9952883,YES
367,80,0.047823884,NO
686,80,0.047823884,NO
728,80,0.047823884,NO
188,57,0.032401558,NO
324,57,0.032401558,NO
386,57,0.032401558,YES
491,57,0.032401558,NO
502,57,0.032401558,NO
148,94,0.047823884,NO
556,94,0.047823884,NO
700,94,0.047823884,YES
707,94,0.047823884,NO
154,195,0.09126258,NO
4,196,0.09126258,NO
473,198,0.09126258,NO
10,107,0.047823884,NO
689,107,0.047823884,NO
14,37,0.01646885,NO
157,37,0.01646885,NO
165,37,0.01646885,NO
185,37,0.01646885,NO
522,37,0.01646885,NO
573,37,0.01646885,NO
754,37,0.01646885,NO
354,60,0.024500571,NO
442,60,0.024500571,NO
504,60,0.024500571,NO
517,60,0.024500571,NO
447,224,0.09126258,NO
528,67,0.024500571,NO
735,67,0.024500571,NO
81,35,0.012402945,YES
100,35,0.012402945,NO
317,35,0.012402945,NO
577,35,0.012402945,NO
771,35,0.012402945,NO
464,260,0.09126258,YES
276,2935,0.9952883,YES
358,45,0.014149604,NO
382,45,0.014149604,NO
520,45,0.014149604,NO
671,45,0.014149604,NO
95,40,0.011040126,NO
181,40,0.011040126,NO
370,40,0.011040126,NO
381,40,0.011040126,NO
438,40,0.011040126,NO
611,40,0.011040126,NO
670,40,0.011040126,NO
682,40,0.011040126,NO
164,52,0.014149604,NO
331,52,0.014149604,YES
388,52,0.014149604,NO
483,52,0.014149604,NO
484,52,0.014149604,NO
508,52,0.014149604,NO
677,52,0.014149604,NO
714,52,0.014149604,NO
514,62,0.01646885,NO
529,62,0.01646885,NO
685,62,0.01646885,NO
697,62,0.01646885,YES
30,33,0.00830312,YES
377,33,0.00830312,NO
533,33,0.00830312,NO
545,33,0.00830312,NO
629,33,0.00830312,NO
679,33,0.00830312,NO
695,33,0.00830312,YES
725,33,0.00830312,NO
755,33,0.00830312,NO
163,38,0.00830312,NO
313,38,0.00830312,NO
350,38,0.00830312,NO
360,38,0.00830312,NO
364,38,0.00830312,NO
460,38,0.00830312,YES
501,38,0.00830312,NO
589,38,0.00830312,NO
644,38,0.00830312,NO
647,38,0.00830312,NO
674,38,0.00830312,NO
705,38,0.00830312,NO
312,61,0.012402945,NO
445,61,0.012402945,NO
497,61,0.012402945,NO
499,61,0.012402945,NO
523,61,0.012402945,NO
557,61,0.012402945,NO
656,61,0.012402945,NO
672,61,0.012402945,NO
535,44,0.0066535976,NO
576,44,0.0066535976,NO
649,44,0.0066535976,NO
713,44,0.0066535976,NO
726,44,0.0066535976,NO
765,44,0.0066535976,NO
289,21395,0.9952883,YES
118,14,4.752005E-4,NO
167,25,4.752005E-4,NO
222,25,4.752005E-4,NO
151,26,4.752005E-4,YES
530,26,4.752005E-4,NO
117,31,4.752005E-4,NO
334,31,4.752005E-4,NO
336,31,4.752005E-4,YES
138,32,4.752005E-4,NO
240,32,4.752005E-4,NO
132,33,4.752005E-4,NO
221,38,4.752005E-4,NO
34,40,4.752005E-4,NO
401,41,4.752005E-4,NO
404,41,4.752005E-4,NO
330,43,4.752005E-4,YES
398,43,4.752005E-4,NO
161,44,4.752005E-4,NO
428,44,4.752005E-4,NO
406,45,4.752005E-4,NO
90,46,4.752005E-4,NO
133,46,4.752005E-4,NO
416,46,4.752005E-4,NO
220,47,4.752005E-4,NO
395,47,4.752005E-4,NO
566,47,4.752005E-4,NO
762,47,4.752005E-4,NO
143,48,4.752005E-4,YES
172,48,4.752005E-4,YES
55,49,4.752005E-4,NO
509,49,4.752005E-4,NO
403,50,4.752005E-4,NO
152,52,4.752005E-4,YES
510,52,4.752005E-4,NO
607,53,4.752005E-4,YES
97,57,4.752005E-4,NO
125,57,4.752005E-4,YES
226,58,4.752005E-4,NO
88,60,4.752005E-4,YES
307,62,4.752005E-4,YES
53,64,4.752005E-4,YES
436,64,4.752005E-4,NO
293,65,4.752005E-4,YES
641,65,4.752005E-4,NO
206,67,4.752005E-4,NO
74,69,4.752005E-4,NO
140,69,4.752005E-4,NO
21,70,4.752005E-4,NO
190,70,4.752005E-4,NO
214,70,4.752005E-4,YES
93,71,4.752005E-4,NO
101,71,4.752005E-4,NO
239,36,2.3771322E-4,YES
82,72,4.752005E-4,YES
215,74,4.752005E-4,NO
340,74,4.752005E-4,YES
590,74,4.752005E-4,YES
130,75,4.752005E-4,NO
40,76,4.752005E-4,YES
114,76,4.752005E-4,NO
211,76,4.752005E-4,YES
210,78,4.752005E-4,YES
80,81,4.752005E-4,YES
99,81,4.752005E-4,NO
111,81,4.752005E-4,NO
311,82,4.752005E-4,NO
774,82,4.752005E-4,NO
338,83,4.752005E-4,NO
402,42,2.3771322E-4,NO
608,84,4.752005E-4,NO
1,87,4.752005E-4,NO
489,87,4.752005E-4,NO
623,87,4.752005E-4,NO
134,92,4.752005E-4,YES
139,93,4.752005E-4,YES
409,94,4.752005E-4,NO
126,95,4.752005E-4,YES
495,95,4.752005E-4,NO
106,97,4.752005E-4,NO
219,97,4.752005E-4,NO
178,98,4.752005E-4,NO
392,98,4.752005E-4,NO
570,98,4.752005E-4,NO
332,99,4.752005E-4,YES
597,34,1.585006E-4,NO
230,103,4.752005E-4,YES
429,104,4.752005E-4,NO
455,105,4.752005E-4,NO
512,105,4.752005E-4,NO
142,106,4.752005E-4,YES
248,108,4.752005E-4,NO
599,109,4.752005E-4,NO
740,109,4.752005E-4,NO
12,110,4.752005E-4,YES
411,56,2.3771322E-4,NO
32,113,4.752005E-4,NO
168,113,4.752005E-4,NO
601,113,4.752005E-4,YES
653,113,4.752005E-4,NO
345,57,2.3771322E-4,YES
418,57,2.3771322E-4,YES
420,57,2.3771322E-4,YES
17,114,4.752005E-4,NO
225,117,4.752005E-4,NO
25,119,4.752005E-4,NO
244,119,4.752005E-4,NO
775,60,2.3771322E-4,NO
592,124,4.752005E-4,NO
736,124,4.752005E-4,NO
326,125,4.752005E-4,YES
390,125,4.752005E-4,NO
224,127,4.752005E-4,NO
71,131,4.752005E-4,YES
425,131,4.752005E-4,NO
603,131,4.752005E-4,NO
5,132,4.752005E-4,NO
112,132,4.752005E-4,NO
466,134,4.752005E-4,NO
2,68,2.3771322E-4,NO
308,68,2.3771322E-4,YES
583,68,2.3771322E-4,NO
328,136,4.752005E-4,YES
83,46,1.585006E-4,NO
84,46,1.585006E-4,NO
102,46,1.585006E-4,NO
103,46,1.585006E-4,NO
166,46,1.585006E-4,NO
249,46,1.585006E-4,NO
651,46,1.585006E-4,NO
158,69,2.3771322E-4,NO
562,69,2.3771322E-4,NO
708,138,4.752005E-4,NO
515,139,4.752005E-4,NO
422,70,2.3771322E-4,NO
327,71,2.3771322E-4,YES
16,142,4.752005E-4,YES
329,145,4.752005E-4,YES
31,146,4.752005E-4,NO
113,146,4.752005E-4,NO
33,147,4.752005E-4,NO
204,147,4.752005E-4,NO
761,147,4.752005E-4,NO
511,37,1.1888487E-4,NO
72,149,4.752005E-4,YES
120,150,4.752005E-4,NO
421,152,4.752005E-4,NO
245,153,4.752005E-4,NO
419,154,4.752005E-4,NO
348,155,4.752005E-4,NO
24,156,4.752005E-4,NO
27,156,4.752005E-4,NO
584,156,4.752005E-4,NO
600,161,4.752005E-4,NO
379,54,1.585006E-4,NO
527,54,1.585006E-4,NO
575,54,1.585006E-4,NO
410,162,4.752005E-4,YES
20,164,4.752005E-4,NO
400,55,1.585006E-4,NO
335,165,4.752005E-4,YES
213,83,2.3771322E-4,NO
333,166,4.752005E-4,YES
149,167,4.752005E-4,YES
28,85,2.3771322E-4,NO
521,85,2.3771322E-4,NO
734,85,2.3771322E-4,NO
58,171,4.752005E-4,YES
408,171,4.752005E-4,YES
702,171,4.752005E-4,NO
763,171,4.752005E-4,YES
8,173,4.752005E-4,NO
567,173,4.752005E-4,YES
618,174,4.752005E-4,NO
750,176,4.752005E-4,NO
581,177,4.752005E-4,NO
706,178,4.752005E-4,NO
494,179,4.752005E-4,NO
614,183,4.752005E-4,NO
539,184,4.752005E-4,NO
371,185,4.752005E-4,NO
744,185,4.752005E-4,NO
513,63,1.585006E-4,NO
124,190,4.752005E-4,NO
487,48,1.1888487E-4,NO
648,48,1.1888487E-4,NO
660,48,1.1888487E-4,NO
123,193,4.752005E-4,NO
746,97,2.3771322E-4,NO
321,49,1.1888487E-4,YES
657,49,1.1888487E-4,NO
704,49,1.1888487E-4,NO
344,66,1.585006E-4,YES
758,66,1.585006E-4,NO
203,100,2.3771322E-4,NO
492,100,2.3771322E-4,NO
568,100,2.3771322E-4,NO
427,108,2.3771322E-4,NO
559,217,4.752005E-4,NO
580,217,4.752005E-4,YES
681,218,4.752005E-4,NO
389,219,4.752005E-4,NO
200,55,1.1888487E-4,NO
357,55,1.1888487E-4,NO
490,55,1.1888487E-4,NO
384,110,2.3771322E-4,NO
423,110,2.3771322E-4,NO
119,220,4.752005E-4,NO
197,56,1.1888487E-4,NO
561,56,1.1888487E-4,NO
655,56,1.1888487E-4,NO
667,56,1.1888487E-4,NO
13,58,1.1888487E-4,NO
184,58,1.1888487E-4,NO
383,58,1.1888487E-4,NO
444,58,1.1888487E-4,NO
598,58,1.1888487E-4,NO
52,242,4.752005E-4,NO
155,243,4.752005E-4,YES
35,125,2.3771322E-4,NO
646,125,2.3771322E-4,NO
56,250,4.752005E-4,YES
6,64,1.1888487E-4,NO
19,64,1.1888487E-4,NO
347,64,1.1888487E-4,NO
433,64,1.1888487E-4,NO
591,64,1.1888487E-4,NO
675,64,1.1888487E-4,NO
242,27,4.7560734E-5,NO
668,27,4.7560734E-5,NO
683,27,4.7560734E-5,NO
742,27,4.7560734E-5,NO
87,280,4.752005E-4,NO
186,281,4.752005E-4,YES
662,95,1.585006E-4,NO
669,95,1.585006E-4,NO
254,22,3.658598E-5,NO
353,22,3.658598E-5,NO
356,22,3.658598E-5,NO
468,22,3.658598E-5,NO
475,22,3.658598E-5,NO
543,22,3.658598E-5,NO
632,22,3.658598E-5,NO
109,289,4.752005E-4,NO
187,99,1.585006E-4,NO
201,99,1.585006E-4,NO
565,149,2.3771322E-4,NO
153,43,6.794113E-5,NO
310,43,6.794113E-5,NO
587,43,6.794113E-5,NO
588,43,6.794113E-5,NO
516,76,1.1888487E-4,NO
692,76,1.1888487E-4,NO
739,76,1.1888487E-4,NO
174,34,5.28447E-5,NO
193,34,5.28447E-5,NO
349,34,5.28447E-5,NO
457,34,5.28447E-5,NO
525,34,5.28447E-5,NO
621,34,5.28447E-5,NO
121,153,2.3771322E-4,NO
776,153,2.3771322E-4,YES
116,306,4.752005E-4,NO
156,28,4.3237404E-5,NO
159,28,4.3237404E-5,NO
192,28,4.3237404E-5,NO
374,28,4.3237404E-5,NO
458,28,4.3237404E-5,NO
462,28,4.3237404E-5,NO
471,28,4.3237404E-5,NO
547,28,4.3237404E-5,NO
717,28,4.3237404E-5,NO
769,28,4.3237404E-5,NO
339,155,2.3771322E-4,YES
380,39,5.9449503E-5,NO
486,39,5.9449503E-5,NO
643,39,5.9449503E-5,NO
680,39,5.9449503E-5,NO
721,39,5.9449503E-5,NO
417,157,2.3771322E-4,NO
480,314,4.752005E-4,YES
729,79,1.1888487E-4,NO
563,159,2.3771322E-4,NO
665,159,2.3771322E-4,NO
150,29,4.3237404E-5,NO
456,29,4.3237404E-5,NO
467,29,4.3237404E-5,NO
531,29,4.3237404E-5,NO
536,29,4.3237404E-5,NO
537,29,4.3237404E-5,NO
631,29,4.3237404E-5,NO
659,29,4.3237404E-5,NO
664,29,4.3237404E-5,NO
678,29,4.3237404E-5,NO
352,23,3.3972876E-5,NO
437,23,3.3972876E-5,NO
453,23,3.3972876E-5,NO
626,23,3.3972876E-5,NO
627,23,3.3972876E-5,NO
628,23,3.3972876E-5,NO
727,23,3.3972876E-5,NO
747,23,3.3972876E-5,NO
122,330,4.752005E-4,NO
92,83,1.1888487E-4,NO
94,83,1.1888487E-4,NO
526,83,1.1888487E-4,NO
731,83,1.1888487E-4,NO
341,337,4.752005E-4,YES
393,343,4.752005E-4,NO
391,346,4.752005E-4,NO
572,351,4.752005E-4,NO
253,30,3.963457E-5,NO
318,30,3.963457E-5,NO
319,30,3.963457E-5,NO
362,30,3.963457E-5,NO
472,30,3.963457E-5,NO
609,30,3.963457E-5,NO
723,30,3.963457E-5,NO
753,30,3.963457E-5,NO
198,92,1.1888487E-4,NO
693,92,1.1888487E-4,NO
732,92,1.1888487E-4,NO
764,92,1.1888487E-4,NO
37,368,4.752005E-4,NO
191,41,5.28447E-5,NO
342,41,5.28447E-5,NO
351,41,5.28447E-5,NO
463,41,5.28447E-5,NO
465,41,5.28447E-5,NO
518,41,5.28447E-5,NO
642,41,5.28447E-5,NO
719,41,5.28447E-5,NO
258,93,1.1888487E-4,NO
688,93,1.1888487E-4,NO
507,186,2.3771322E-4,NO
257,75,9.511242E-5,NO
716,75,9.511242E-5,NO
606,375,4.752005E-4,NO
399,47,5.9449503E-5,NO
593,47,5.9449503E-5,NO
743,47,5.9449503E-5,NO
749,47,5.9449503E-5,NO
76,42,5.28447E-5,NO
488,42,5.28447E-5,NO
493,42,5.28447E-5,NO
496,42,5.28447E-5,NO
650,42,5.28447E-5,NO
652,42,5.28447E-5,NO
252,382,4.752005E-4,NO
479,383,4.752005E-4,YES
355,24,2.9726518E-5,NO
454,24,2.9726518E-5,NO
470,24,2.9726518E-5,NO
498,24,2.9726518E-5,NO
552,24,2.9726518E-5,NO
578,24,2.9726518E-5,NO
620,24,2.9726518E-5,NO
634,24,2.9726518E-5,NO
694,24,2.9726518E-5,NO
741,24,2.9726518E-5,NO
558,96,1.1888487E-4,NO
661,96,1.1888487E-4,NO
745,96,1.1888487E-4,NO
279,387,4.752005E-4,YES
305,387,4.752005E-4,YES
98,50,5.9449503E-5,NO
176,50,5.9449503E-5,NO
359,50,5.9449503E-5,NO
505,50,5.9449503E-5,NO
551,50,5.9449503E-5,NO
715,50,5.9449503E-5,NO
770,50,5.9449503E-5,NO
701,201,2.3771322E-4,NO
79,51,5.9449503E-5,YES
162,51,5.9449503E-5,NO
246,51,5.9449503E-5,NO
247,51,5.9449503E-5,NO
372,51,5.9449503E-5,NO
443,51,5.9449503E-5,NO
503,51,5.9449503E-5,NO
506,51,5.9449503E-5,NO
605,51,5.9449503E-5,NO
663,51,5.9449503E-5,NO
368,82,9.511242E-5,NO
18,59,6.794113E-5,NO
182,59,6.794113E-5,NO
261,59,6.794113E-5,NO
322,59,6.794113E-5,NO
441,59,6.794113E-5,NO
582,59,6.794113E-5,NO
687,59,6.794113E-5,NO
115,420,4.752005E-4,NO
282,421,4.752005E-4,YES
250,53,5.9449503E-5,NO
323,53,5.9449503E-5,NO
541,53,5.9449503E-5,NO
654,53,5.9449503E-5,NO
658,53,5.9449503E-5,NO
666,53,5.9449503E-5,NO
673,53,5.9449503E-5,NO
564,142,1.585006E-4,NO
772,142,1.585006E-4,YES
169,36,3.963457E-5,NO
183,36,3.963457E-5,NO
532,36,3.963457E-5,NO
542,36,3.963457E-5,NO
640,36,3.963457E-5,NO
711,36,3.963457E-5,NO
751,36,3.963457E-5,NO
23,148,1.585006E-4,NO
243,445,4.752005E-4,YES
378,448,4.752005E-4,YES
748,154,1.585006E-4,NO
175,26,2.6423746E-5,NO
179,26,2.6423746E-5,NO
194,26,2.6423746E-5,NO
440,26,2.6423746E-5,NO
534,26,2.6423746E-5,NO
550,26,2.6423746E-5,NO
554,26,2.6423746E-5,NO
617,26,2.6423746E-5,NO
624,26,2.6423746E-5,NO
637,26,2.6423746E-5,NO
638,26,2.6423746E-5,NO
639,26,2.6423746E-5,NO
712,26,2.6423746E-5,NO
720,26,2.6423746E-5,NO
722,26,2.6423746E-5,NO
730,26,2.6423746E-5,NO
733,26,2.6423746E-5,NO
737,26,2.6423746E-5,NO
595,498,4.752005E-4,NO
146,25,2.2649097E-5,NO
180,25,2.2649097E-5,NO
375,25,2.2649097E-5,NO
376,25,2.2649097E-5,NO
439,25,2.2649097E-5,NO
469,25,2.2649097E-5,NO
482,25,2.2649097E-5,NO
538,25,2.2649097E-5,NO
546,25,2.2649097E-5,NO
548,25,2.2649097E-5,NO
549,25,2.2649097E-5,NO
553,25,2.2649097E-5,NO
625,25,2.2649097E-5,NO
633,25,2.2649097E-5,NO
699,25,2.2649097E-5,NO
709,25,2.2649097E-5,NO
710,25,2.2649097E-5,NO
724,25,2.2649097E-5,NO
738,25,2.2649097E-5,NO
177,31,2.7977998E-5,NO
189,31,2.7977998E-5,NO
361,31,2.7977998E-5,NO
363,31,2.7977998E-5,NO
365,31,2.7977998E-5,NO
373,31,2.7977998E-5,NO
459,31,2.7977998E-5,NO
476,31,2.7977998E-5,NO
519,31,2.7977998E-5,NO
555,31,2.7977998E-5,NO
619,31,2.7977998E-5,NO
635,31,2.7977998E-5,NO
636,31,2.7977998E-5,NO
645,31,2.7977998E-5,NO
676,31,2.7977998E-5,NO
696,31,2.7977998E-5,NO
718,31,2.7977998E-5,NO
39,181,1.585006E-4,NO
500,181,1.585006E-4,NO
22,32,2.6423746E-5,NO
77,32,2.6423746E-5,NO
96,32,2.6423746E-5,NO
173,32,2.6423746E-5,NO
314,32,2.6423746E-5,NO
315,32,2.6423746E-5,NO
316,32,2.6423746E-5,NO
366,32,2.6423746E-5,NO
449,32,2.6423746E-5,NO
450,32,2.6423746E-5,NO
451,32,2.6423746E-5,NO
452,32,2.6423746E-5,NO
461,32,2.6423746E-5,NO
477,32,2.6423746E-5,NO
540,32,2.6423746E-5,NO
615,32,2.6423746E-5,NO
616,32,2.6423746E-5,NO
630,32,2.6423746E-5,NO
752,32,2.6423746E-5,NO
756,32,2.6423746E-5,NO
268,713,4.752005E-4,YES
280,914,4.752005E-4,YES
