ID,Size,Predicted,Actual
1896,345,0.97943115,NO
369,378,1.0,NO
1925,388,1.0,NO
1303,350,0.89004666,NO
355,438,1.0,NO
1965,439,1.0,NO
1297,529,1.0,NO
2169,470,0.75265706,NO
2124,736,1.0,NO
2170,753,1.0,NO
2185,856,1.0,NO
2028,917,1.0,NO
2189,350,0.32256716,NO
1859,1462,1.0,NO
1147,1483,0.9999228,NO
1134,2096,1.0,NO
1158,2862,1.0,NO
634,243,0.061667617,NO
2053,4012,0.8755647,YES
512,539,0.022984164,YES
1128,48262,1.0,NO
513,419,0.0026339088,YES
2127,261,6.648913E-4,NO
370,215,3.9173823E-4,NO
228,226,3.202167E-4,NO
2030,1133,0.0013971563,NO
177,253,2.579252E-4,NO
961,1771,8.654073E-4,YES
750,217,7.737638E-5,NO
175,47,1.3101413E-5,NO
557,245,3.224514E-5,YES
1932,189,1.6073202E-5,NO
2150,750,5.9823797E-5,NO
1285,837,6.10841E-5,NO
171,45,2.8006143E-6,NO
1393,180,1.1022831E-5,NO
1162,604,3.41815E-5,NO
74,170,9.466056E-6,NO
554,226,1.1834723E-5,YES
1072,1264,4.5140394E-5,NO
2177,219,3.4911789E-6,NO
2179,269,3.92679E-6,NO
2057,773,1.0956678E-5,NO
1092,3904,4.0782506E-5,NO
222,241,2.2200745E-6,NO
240,230,1.7931656E-6,NO
2173,267,1.8368108E-6,NO
173,190,7.9101596E-7,NO
116,377,1.4641563E-6,NO
167,45,1.5787901E-7,NO
357,165,5.709796E-7,NO
356,156,4.9359073E-7,NO
1040,173,5.1622646E-7,NO
2055,71,1.9492983E-7,NO
2073,192,5.218383E-7,NO
2123,187,3.7829128E-7,YES
233,213,4.279374E-7,NO
2190,182,3.1208035E-7,NO
2147,1382,2.1092255E-6,NO
492,514,6.974106E-7,NO
1304,757,1.0063354E-6,NO
199,314,3.6379836E-7,NO
1844,119,1.253592E-7,NO
1948,108,1.0291867E-7,NO
1038,167,1.4267948E-7,NO
1077,1389,1.0481617E-6,NO
555,193,1.3764193E-7,YES
516,93,6.369927E-8,YES
2175,157,9.973811E-8,NO
911,234,1.419053E-7,NO
230,127,6.667964E-8,NO
1957,176,8.16679E-8,NO
1979,32,1.4439894E-8,NO
558,332,1.4475869E-7,YES
539,49,2.1329706E-8,NO
2162,54,2.1068825E-8,NO
372,117,4.326178E-8,NO
715,109,3.5717143E-8,NO
716,109,3.5717143E-8,NO
239,193,6.275751E-8,NO
1975,55,1.7520469E-8,NO
2176,154,4.7598448E-8,YES
232,104,3.1665497E-8,NO
235,105,3.1665497E-8,NO
2161,229,6.796518E-8,NO
236,117,3.4703156E-8,NO
1156,2249,6.659621E-7,NO
2080,122,3.2699706E-8,NO
552,130,3.3962763E-8,YES
514,135,3.2340573E-8,NO
1294,514,1.2007398E-7,NO
1161,2006,4.6744327E-7,NO
556,116,2.6903777E-8,YES
560,84,1.9008445E-8,NO
523,203,4.229278E-8,YES
2167,172,3.5381156E-8,NO
1578,682,1.3964815E-7,NO
411,129,2.6033597E-8,NO
1300,116,2.2830577E-8,NO
1829,115,2.140504E-8,NO
522,29,5.0790043E-9,NO
2183,192,3.268626E-8,NO
1977,36,5.940912E-9,NO
1982,36,5.940912E-9,NO
564,115,1.8919383E-8,NO
169,141,2.2807736E-8,NO
2133,110,1.7016555E-8,NO
1845,83,1.2652159E-8,NO
0,111,1.6403447E-8,NO
118,244,3.6029288E-8,NO
1044,43,6.2322765E-9,NO
2005,31,4.403484E-9,NO
1994,32,4.403484E-9,NO
760,35,4.79028E-9,NO
1084,2351,3.160293E-7,NO
2015,39,5.0657696E-9,NO
755,98,1.2652111E-8,NO
774,107,1.3716018E-8,NO
2017,39,4.9835864E-9,NO
191,321,4.0906716E-8,NO
164,127,1.6022552E-8,NO
3,131,1.6414047E-8,NO
2016,41,5.0657696E-9,NO
1916,111,1.3600024E-8,NO
1889,75,9.15278E-9,NO
2014,41,4.9835864E-9,NO
2029,54,6.41987E-9,NO
768,27,3.165016E-9,NO
535,76,8.872114E-9,YES
300,28,3.2412915E-9,NO
1842,190,2.1739734E-8,NO
295,41,4.67598E-9,NO
756,28,3.165931E-9,NO
1184,54,5.9714957E-9,NO
1580,369,4.0603574E-8,YES
269,63,6.850473E-9,NO
69,96,1.0348387E-8,NO
766,29,3.1228267E-9,NO
674,43,4.559627E-9,NO
1293,87,8.9586125E-9,NO
548,45,4.5748956E-9,NO
2153,119,1.2097347E-8,NO
757,51,5.0140945E-9,NO
763,32,3.1228267E-9,NO
2171,140,1.3405757E-8,NO
31,113,1.0791392E-8,NO
590,400,3.79789E-8,NO
553,54,5.0790043E-9,YES
2128,92,8.618402E-9,NO
163,140,1.3080203E-8,NO
563,49,4.5748956E-9,NO
287,98,9.125527E-9,NO
1947,98,9.07452E-9,NO
2155,141,1.2987616E-8,NO
106,96,8.811407E-9,NO
89,94,8.571243E-9,NO
1878,55,4.980625E-9,NO
87,95,8.571243E-9,NO
1988,49,4.403484E-9,NO
2184,105,9.303425E-9,NO
1284,100,8.851205E-9,NO
565,58,5.0790043E-9,NO
2103,102,8.851205E-9,NO
592,53,4.5554094E-9,NO
754,38,3.2340843E-9,NO
275,54,4.5660737E-9,NO
88,66,5.5723453E-9,NO
769,40,3.2966152E-9,NO
1278,277,2.25418E-8,NO
174,74,5.9514855E-9,NO
1413,2594,2.0677938E-7,NO
2180,108,8.602395E-9,NO
508,26,2.044401E-9,NO
546,26,2.044401E-9,NO
1872,25,1.96069E-9,NO
668,26,2.0246926E-9,NO
33,77,5.98317E-9,NO
743,115,8.867247E-9,NO
2152,220,1.6951368E-8,NO
311,34,2.607647E-9,NO
2042,224,1.7176664E-8,NO
42,65,4.9835864E-9,NO
78,65,4.9835864E-9,NO
1978,80,5.98317E-9,NO
983,25,1.8651989E-9,NO
848,118,8.772088E-9,YES
1319,62,4.5554094E-9,NO
1871,27,1.9788564E-9,NO
521,28,2.044401E-9,NO
132,82,5.98317E-9,NO
658,62,4.5087947E-9,NO
541,63,4.5748956E-9,NO
1523,60,4.342459E-9,NO
271,80,5.7732694E-9,NO
371,96,6.9015877E-9,NO
1741,26,1.8651989E-9,NO
764,46,3.2975682E-9,NO
1557,29,2.0680504E-9,NO
825,70,4.9720685E-9,NO
511,29,2.044401E-9,NO
544,29,2.044401E-9,NO
170,81,5.6285305E-9,NO
762,70,4.855826E-9,NO
765,70,4.855826E-9,NO
277,56,3.8779073E-9,NO
1328,130,8.896128E-9,NO
2166,29,1.9824564E-9,NO
2129,79,5.3945346E-9,NO
267,91,6.1951204E-9,NO
273,85,5.7732694E-9,NO
1031,249,1.6651258E-8,YES
994,28,1.8651989E-9,NO
2099,28,1.8651989E-9,NO
1980,89,5.927182E-9,NO
446,88,5.761063E-9,NO
1036,45,2.9457192E-9,NO
2178,102,6.634406E-9,NO
948,144,9.354204E-9,NO
185,212,1.3733519E-8,NO
1185,23,1.4860012E-9,NO
1186,23,1.4860012E-9,NO
1187,23,1.4860012E-9,NO
1396,29,1.8651989E-9,NO
1299,207,1.330622E-8,NO
1123,781,5.0126037E-8,NO
770,53,3.3958445E-9,NO
286,32,2.031994E-9,NO
2023,32,2.0313864E-9,NO
223,106,6.7269994E-9,NO
542,32,2.0179651E-9,NO
1868,783,4.9216347E-8,NO
117,174,1.0873941E-8,NO
108,98,6.0984418E-9,NO
1025,30,1.8651989E-9,NO
1039,30,1.8651989E-9,NO
1288,47,2.9098175E-9,NO
936,47,2.9013474E-9,NO
303,33,2.0282904E-9,NO
1370,35,2.124017E-9,NO
1918,93,5.632959E-9,YES
255,62,3.7531294E-9,NO
1318,41,2.4701328E-9,YES
966,31,1.8651989E-9,NO
1384,31,1.8651989E-9,NO
1595,31,1.8651989E-9,NO
1638,31,1.8651989E-9,NO
1641,31,1.8651989E-9,NO
1714,31,1.8651989E-9,NO
2096,31,1.8651989E-9,NO
515,322,1.9365535E-8,YES
504,34,2.044401E-9,NO
721,54,3.246196E-9,NO
524,76,4.5643223E-9,NO
1306,64,3.8341854E-9,NO
272,63,3.7531294E-9,NO
532,86,5.0657514E-9,YES
1312,42,2.4701328E-9,YES
1,22,1.2858923E-9,NO
284,22,1.2858923E-9,NO
836,22,1.2858923E-9,NO
978,22,1.2858923E-9,NO
985,22,1.2858923E-9,NO
1027,22,1.2858923E-9,NO
1029,22,1.2858923E-9,NO
1064,22,1.2858923E-9,NO
1243,22,1.2858923E-9,NO
1397,22,1.2858923E-9,NO
1497,22,1.2858923E-9,NO
1575,22,1.2858923E-9,NO
1634,22,1.2858923E-9,NO
2074,22,1.2858923E-9,NO
505,35,2.044401E-9,NO
545,35,2.044401E-9,NO
1183,42,2.4504272E-9,NO
1775,32,1.8651989E-9,NO
2052,32,1.8651989E-9,NO
168,63,3.6635954E-9,NO
172,63,3.6635954E-9,NO
317,35,2.0282904E-9,NO
676,35,2.0246926E-9,NO
2186,43,2.4797666E-9,NO
234,35,2.0143605E-9,NO
265,69,3.9367913E-9,NO
192,79,4.4921564E-9,NO
551,36,2.044401E-9,NO
1830,153,8.677299E-9,NO
1033,33,1.8651989E-9,NO
1047,33,1.8651989E-9,NO
1560,33,1.8651989E-9,NO
1581,33,1.8651989E-9,NO
1608,33,1.8651989E-9,NO
1629,33,1.8651989E-9,NO
1713,33,1.8651989E-9,NO
176,65,3.6635954E-9,NO
107,193,1.0873941E-8,NO
296,46,2.578576E-9,NO
206,36,2.0143605E-9,NO
1239,23,1.2791288E-9,NO
1359,23,1.2791288E-9,NO
1378,23,1.2791288E-9,NO
1626,23,1.2791288E-9,NO
1627,23,1.2791288E-9,NO
1628,23,1.2791288E-9,NO
1746,23,1.2791288E-9,NO
1766,23,1.2791288E-9,NO
726,39,2.162864E-9,NO
104,75,4.1483363E-9,NO
919,28,1.5454243E-9,NO
1320,45,2.4701328E-9,YES
1382,34,1.8651989E-9,NO
306,37,2.0282904E-9,NO
578,82,4.4921564E-9,NO
2158,83,4.544881E-9,NO
166,80,4.3738093E-9,NO
1305,47,2.5257656E-9,NO
2187,72,3.8391392E-9,NO
2188,72,3.8391392E-9,NO
732,24,1.2791288E-9,NO
782,24,1.2791288E-9,NO
799,24,1.2791288E-9,NO
806,24,1.2791288E-9,NO
